matrix_key,kappa,floor_h,usable_voters,B_size,cell_slack_float,supports,certificate_type,committee,deficit_voter,singleton_margin,worst_price_margin,certificate_detail
45170837085368,3,1 1 1 2 1 2 1 1,1 2 3 4 6 7 8,7,0.0769230769231,246 | 147 | 3456 | 1568 | 2378 | 45678,fixed coalitionwise price-saturation,1 2 3,8,1/12,1/6,121 coalition domains; 7 x-vertices; 4 base dual vertices
45249101483321,3,1 1 2 0 2 1 1 2,1 2 3 5 6 7 8,7,0.0769230769231,358 | 125 | 3567 | 1368 | 2378 | 45678,fixed coalitionwise price-saturation,1 2 3,8,1/8,3/14,67 coalition domains; 7 x-vertices; 3 base dual vertices
45249118260536,3,1 1 2 1 2 1 1 1,1 2 3 4 5 6 7 8,8,0.0909090909091,345 | 125 | 3567 | 1368 | 2378 | 45678,fixed coalitionwise price-saturation,1 2 6,3,1/40,3/10,82 coalition domains; 11 x-vertices; 3 base dual vertices
45591660268857,3,1 2 1 1 2 0 1 2,1 2 3 4 5 7 8,7,0.0769230769231,258 | 124 | 2357 | 1358 | 23678 | 45678,fixed coalitionwise price-saturation,1 2 6,3,1/8,1/4,73 coalition domains; 7 x-vertices; 3 base dual vertices
45592714882620,3,1 2 2 1 1 1 1 1,1 2 3 4 5 6 7,7,0.0769230769231,234 | 126 | 2358 | 1378 | 23678 | 45678,fixed coalitionwise price-saturation,1 4 5,5,1/12,1/4,83 coalition domains; 7 x-vertices; 3 base dual vertices
49715833109040,3,1 1 2 2 1 2 1 1,1 2 3 4 6 7 8,7,0.0769230769231,1236 | 1246 | 3456 | 1347 | 2348 | 5678,fixed coalitionwise price-saturation,1 3 6,4,1/8,1/4,115 coalition domains; 7 x-vertices; 6 base dual vertices
53964663864632,3,1 1 1 0 2 2 1 1,1 2 3 5 6 7 8,7,0.0769230769231,256 | 356 | 157 | 168 | 2378 | 45678,fixed coalitionwise price-saturation,1 2 3,8,1/12,1/4,119 coalition domains; 7 x-vertices; 3 base dual vertices
53964781567288,3,1 1 1 2 0 2 1 1,1 2 3 4 6 7 8,7,0.0769230769231,246 | 346 | 147 | 1568 | 2378 | 45678,fixed coalitionwise price-saturation,1 2 4,7,1/12,1/4,114 coalition domains; 7 x-vertices; 3 base dual vertices
53964782357816,3,1 1 1 2 2 1 1 1,1 2 3 4 5 7 8,7,0.0769230769231,245 | 345 | 1467 | 1568 | 2378 | 45678,fixed coalitionwise price-saturation,1 2 3,8,1/12,1/4,119 coalition domains; 7 x-vertices; 3 base dual vertices
53964782366008,3,1 1 1 2 2 1 1 1,1 2 3 4 5 7 8,7,0.0769230769231,245 | 3456 | 1467 | 1568 | 2378 | 45678,fixed coalitionwise price-saturation,1 2 3,8,1/12,1/4,121 coalition domains; 7 x-vertices; 3 base dual vertices
53964782370104,3,1 1 1 2 2 2 1 1,1 2 3 4 5 7 8,7,0.0769230769231,2456 | 3456 | 1467 | 1568 | 2378 | 45678,fixed coalitionwise price-saturation,1 2 3,8,1/12,1/3,121 coalition domains; 7 x-vertices; 5 base dual vertices
54318042656120,3,1 1 2 2 1 1 2 1,1 2 3 4 5 6 7,7,0.0769230769231,347 | 2346 | 1247 | 1358 | 23678 | 45678,fixed coalitionwise price-saturation,1 3 4,6,1/8,1/4,91 coalition domains; 7 x-vertices; 4 base dual vertices
54318042656121,3,1 1 2 2 1 1 2 2,1 2 3 4 5 6 7,7,0.0769230769231,3478 | 2346 | 1247 | 1358 | 23678 | 45678,fixed coalitionwise price-saturation,1 2 4,7,1/8,1/3,97 coalition domains; 7 x-vertices; 5 base dual vertices
54386642791736,3,1 2 2 0 1 1 1 1,1 2 3 5 6 7 8,7,0.0769230769231,235 | 236 | 127 | 138 | 2378 | 45678,fixed coalitionwise price-saturation,1 3 4,6,1/12,1/6,97 coalition domains; 7 x-vertices; 3 base dual vertices
54386659888440,3,1 2 2 1 1 0 1 1,1 2 3 4 5 7 8,7,0.0769230769231,234 | 235 | 127 | 138 | 23678 | 45678,fixed coalitionwise price-saturation,1 3 4,5,1/12,1/3,72 coalition domains; 7 x-vertices; 3 base dual vertices
54386659905080,3,1 2 2 1 1 1 1 1,1 2 3 4 5 6,6,0.0769230769231,234 | 235 | 126 | 1378 | 23678 | 45678,fixed coalitionwise price-saturation,1 3 4,5,1/12,1/3,71 coalition domains; 7 x-vertices; 3 base dual vertices
54386659905084,3,1 2 2 1 1 1 1 1,1 2 3 4 5 6 7,7,0.0769230769231,234 | 235 | 1268 | 1378 | 23678 | 45678,fixed coalitionwise price-saturation,1 3 4,5,1/12,1/3,72 coalition domains; 7 x-vertices; 3 base dual vertices
54386659905086,3,1 2 2 1 1 1 1 2,1 2 3 4 5 6 7,7,0.0769230769231,234 | 2358 | 1268 | 1378 | 23678 | 45678,fixed coalitionwise price-saturation,1 3 4,5,1/12,1/4,87 coalition domains; 7 x-vertices; 3 base dual vertices
